rcid,session,vote,ccode,Country,CABB
5312,68,2,212,Luxembourg,LUX
5312,68,2,210,Netherlands,NTH
5312,68,2,211,Belgium,BEL
5312,68,8,983,Marshall Islands,MSI
5312,68,3,666,Israel,ISR
5312,68,1,760,Bhutan,BHU
5312,68,1,663,Jordan,JOR
5312,68,1,660,Lebanon,LEB
5312,68,1,130,Ecuador,ECU
5312,68,1,135,Peru,PER
5312,68,1,90,Guatemala,GUA
5312,68,1,571,Botswana,BOT
5312,68,1,490,Democratic Republic of the Congo,DRC
5312,68,1,93,Nicaragua,NIC
5312,68,1,626,South Sudan,SSD
5312,68,1,692,Bahrain,BAH
5312,68,1,690,Kuwait,KUW
5312,68,8,20,Canada,CAN
5312,68,1,694,Qatar,QAT
5312,68,1,160,Argentina,ARG
5312,68,1,698,Oman,OMA
5312,68,2,344,Croatia,CRO
5312,68,2,345,Serbia,YUG
5312,68,2,346,Bosnia and Herzegovina,BOS
5312,68,1,404,Guinea-Bissau,GNB
5312,68,1,403,Sao Tome and Principe,STP
5312,68,2,341,Montenegro,MNG
5312,68,8,343,Macedonia,MAC
5312,68,1,811,Cambodia,CAM
5312,68,1,812,Laos,LAO
5312,68,2,349,Slovenia,SLV
5312,68,1,816,Viet Nam,DRV
5312,68,1,678,Yemen,YEM
5312,68,1,522,Djibouti,DJI
5312,68,1,670,Saudi Arabia,SAU
5312,68,1,712,Mongolia,MON
5312,68,1,710,China,CHN
5312,68,3,260,Germany,GMY
5312,68,1,420,Gambia,GAM
5312,68,1,986,Palau,PAL
5312,68,1,58,Antigua & Barbuda,AAB
5312,68,1,55,Grenada,GRN
5312,68,1,54,Dominica,DMA
5312,68,1,57,St. Vincent and the Grenadines,SVG
5312,68,1,56,St. Lucia,SLU
5312,68,1,51,Jamaica,JAM
5312,68,1,53,Barbados,BAR
5312,68,1,52,Trinidad and Tobago,TRI
5312,68,1,411,Equatorial Guinea,EQG
5312,68,1,531,Eritrea,ERI
5312,68,1,530,Ethiopia (new),ETH
5312,68,2,371,Armenia,ARM
5312,68,1,370,Belarus,BLR
5312,68,1,373,Azerbaijan,AZE
5312,68,2,372,Georgia,GRG
5312,68,3,375,Finland,FIN
5312,68,1,820,Malaysia,MAL
5312,68,2,290,Poland,POL
5312,68,1,591,Seychelles,SEY
5312,68,1,590,Mauritius,MAS
5312,68,8,704,Uzbekistan,UZB
5312,68,1,705,Kazakhstan,KZK
5312,68,3,310,Hungary,HUN
5312,68,2,317,Slovakia,SLO
5312,68,3,316,Czech Republic,CZR
5312,68,1,702,Tajikistan,TAJ
5312,68,1,703,Kyrgyzstan,KYR
5312,68,1,115,Suriname,SUR
5312,68,2,390,Denmark,DEN
5312,68,1,110,Guyana,GUY
5312,68,2,395,Iceland,ICE
5312,68,1,771,Bangladesh,BNG
5312,68,8,80,Belize,BLZ
5312,68,1,830,Singapore,SIN
5312,68,1,790,Nepal,NEP
5312,68,8,520,Somalia,SOM
5312,68,2,368,Lithuania,LIT
5312,68,2,369,Ukraine,UKR
5312,68,2,366,Estonia,EST
5312,68,2,367,Latvia,LAT
5312,68,1,365,Russian Federation,RUS
5312,68,2,910,Papua New Guinea,PNG
